Query_Hit	Data_base_Hit
lcl|NZ_BDUD01000001.1_cds_WP_181373846.1_81	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373846.1_81	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373846.1_81	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_181373846.1_81	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006804.1_84	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006805.1_85	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006807.1_87	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006809.1_89	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006810.1_90	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006811.1_91	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006812.1_92	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006813.1_93	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006814.1_94	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006815.1_95	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006816.1_96	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006816.1_96	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006816.1_96	NC_010628.1
lcl|NZ_BDUD01000001.1_cds_WP_109006817.1_97	NC_010628.1
